Product Name,Category,Price,Code,imageLink
Pringles,Chips,"80,000",196,
Dragon chips 15g,Chips,"10,000",6924514651698,
Fantasia 34g,Chips,"20,000",1124,
makino chips 37gr ,Chips,"45,000",6924514651503,
master chips 80g,Chips,"50,000",453,
master chips small 16gr ,Chips,"10,000",452,
Master Corn Puffs 170g,Chips,"75,000",6924514652297,
Master Slims chips 20g,Chips,"40,000",1640,
ORO Rings 100g,Chips,"50,000",1753,
Avila Chips 200g,Chips,"45,000",6924514651904,
ringo chips 17g,Chips,"10,000",358,
Ringo Flavored Chips,Chips,"30,000",6924514651741,
Ringo slices 30 g,Chips,"20,000",602,
Rusky Bakes,Chips,"15,000",6924514652371,
sitos chips 20g,Chips,"10,000",451,
snips Pretzels Knocks 250g,Chips,"100,000",1532,
Snips Pretzels Knots 30g,Chips,"20,000",1623,
takis 35gr,Chips,"90,000",477,
baker pretzels 250gr ,Chips,"150,000",6924514651622,
Aflora Green Peas and Carrot 400g,Frozen,"220,000",6924514651902,
Broasted Chicken Tip Top 800g,Frozen,"800,000",252151,
Kwik chicken escalope 500g,Frozen,"620,000",6924514651808,
PL SOL Onion Rings 300g,Frozen,"280,000",6924514651812,
Pastry Fawzi Sheets Puffs,Frozen,"200,000",1597,
Pastry Fawzi lahm b ajin sheets,Frozen,"140,000",1596,
Samki Harra 500g,Frozen,"670,000",252202,
Kibbeh Michwiyeh Meat 2 pcs,Frozen,"380,000",252205,
Grape Leaves Meat 750g,Frozen,"770,000",252201,
chicken strogonoff 400g,Frozen,"520,000",252203,
Chicken Burger 800g Tip Top,Frozen,"500,000",252153,
Chef Fawzi Sambousek cheese,Frozen,"120,000",252265,
Chef Fawzi cheese sticks,Frozen,"130,000",252264,
Cheese Borak pastry,Frozen,"300,000",252218,
PL SOL Spinach 400g,Frozen,"190,000",6924514652252,
Pl SOL Wedges 900g,Frozen,"330,000",6924514651837,
quick catch ,Miscellaneous,"850,000",252168,
Rat poison bag,Miscellaneous,"60,000",1557,
Roasting bags,Miscellaneous,"60,000",1395,
scissors,Miscellaneous,"50,000",6924514651778,
sewing needle,Miscellaneous,"20,000",1342,
shaving brush ameca,Miscellaneous,"90,000",1069,
Show Shoe Cream 50ml,Miscellaneous,"80,000",1543,
argili pipes,Miscellaneous,"200,000",404,
astor bic 1 piece,Miscellaneous,"25,000",593,
powder cockroach killing bait,Miscellaneous,"15,000",6924514651750,
Play cards,Miscellaneous,"200,000",6924514651715,
plastic spoons and forks,Miscellaneous,"60,000",6924514652395,
Plastic Pins x24,Miscellaneous,"70,000",1313,
plastic maknasa,Miscellaneous,"80,000",355,
Plastic eco Cups x100,Miscellaneous,"60,000",1506,
Plastic Cups 270 x50,Miscellaneous,"120,000",6924514652391,
Pif Paf Insect Killer 300ml,Miscellaneous,"180,000",6924514651496,
Siglo mosquito repellant,Miscellaneous,"130,000",1303,
Sweet cotton mop,Miscellaneous,"140,000",6924514651799,
al zahra kids powder,Miscellaneous,"120,000",332,
top bandage,Miscellaneous,"4,000",1194,
Yaolin articles x4,Miscellaneous,"50,000",1305,
Yahya charcoal quick flame,Miscellaneous,"60,000",6924514651656,
yaduo large scotch,Miscellaneous,"100,000",734,
xsmart blades x5,Miscellaneous,"111,000",6924514651424,
wtaawt stainless blades,Miscellaneous,"41,000",6924514651360,
wood clothes pins x20,Miscellaneous,"50,000",63,
women socks,Miscellaneous,"18,000",398,
tips argili,Miscellaneous,"20,000",338,
Voltran gas 300ml,Miscellaneous,"100,000",6924514651362,
achata wood covered stick,Miscellaneous,"50,000",500,
al waha maknasa,Miscellaneous,"165,000",1760,
phonex lighter ,Miscellaneous,"20,000",1084,
argili charcoal ,Miscellaneous,"160,000",786,
volcano,Miscellaneous,"30,000",403,
Vileda Sponge Cloth x3,Miscellaneous,"220,000",6924514652116,
Vileda Pannonuovo x2,Miscellaneous,"320,000",6924514652117,
 pen corvet,Miscellaneous,"20,000",765,
perla aluminium foil,Miscellaneous,"90,000",559,
sif OKS 1 piece 40g,Miscellaneous,"50,000",1411,
